This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans Code          
U+a9e0 Myanmar Extended-B                            (0/31)       
U+aa00 Cham                                          (0/83)       
U+aa60 Myanmar Extended-A                            (0/32)       
U+aa80 Tai Viet                                      (0/72)       
U+aae0 Meetei Mayek Extensions                       (0/23)       
U+ab00 Ethiopic Extended-A                           (0/32)       
U+ab30 Latin Extended-E                              (0/54)       
U+ab70 Cherokee Supplement                           (0/80)       
U+abc0 Meetei Mayek                                  (0/56)       
U+ac00 Hangul Syllables                              (0/0)        
U+d7b0 Hangul Jamo Extended-B                        (0/72)       
U+d800 High Surrogates                               (0/0)        
U+db80 High Private Use Surrogates                   (0/0)        
U+dc00 Low Surrogates                                (0/0)        
U+e000 Private Use Area                              (0/0)        
U+f900 CJK Compatibility Ideographs                  (0/472)      
U+fb00 Alphabetic Presentation Forms              3% (2/58)       
U+fb50 Arabic Presentation Forms-A               11% (72/611)     
U+fe00 Variation Selectors                           (0/16)       
U+fe10 Vertical Forms                                (0/10)       
U+fe20 Combining Half Marks                          (0/16)       
U+fe30 CJK Compatibility Forms                       (0/32)       
U+fe50 Small Form Variants                           (0/26)       
U+fe70 Arabic Presentation Forms-B              100% (141/141)    
U+ff00 Halfwidth and Fullwidth Forms                 (0/225)      
U+fff0 Specials                                 100% (5/5)        
U+10000 Linear B Syllabary                            (0/88)       
U+10080 Linear B Ideograms                            (0/123)      
U+10100 Aegean Numbers                                (0/57)       
U+10140 Ancient Greek Numbers                         (0/79)       
U+10190 Ancient Symbols                               (0/13)       
U+101d0 Phaistos Disc                                 (0/46)       
U+10280 Lycian                                        (0/29)       
U+102a0 Carian                                        (0/49)       
U+102e0 Coptic Epact Numbers                          (0/28)       
U+10300 Old Italic                                    (0/36)       
U+10330 Gothic                                        (0/27)       
U+10350 Old Permic                                    (0/43)       
U+10380 Ugaritic                                      (0/31)       
U+103a0 Old Persian                                   (0/50)       
U+10400 Deseret                                       (0/80)       
U+10450 Shavian                                       (0/48)       
U+10480 Osmanya                                       (0/40)       
U+104b0 Osage                                         (0/72)       
U+10500 Elbasan                                       (0/40)       
U+10530 Caucasian Albanian                            (0/53)       
U+10600 Linear A                                      (0/341)      
U+10800 Cypriot Syllabary                             (0/55)       
U+10840 Imperial Aramaic                              (0/31)       
U+10860 Palmyrene                                     (0/32)       
U+10880 Nabataean                                     (0/40)       
U+108e0 Hatran                                        (0/26)       
U+10900 Phoenician                                    (0/29)       
U+10920 Lydian                                        (0/27)       
U+10980 Meroitic Hieroglyphs                          (0/32)       
U+109a0 Meroitic Cursive                              (0/90)       
U+10a00 Kharoshthi                                    (0/65)       
U+10a60 Old South Arabian                             (0/32)       
U+10a80 Old North Arabian                             (0/32)       
U+10ac0 Manichaean                                    (0/51)       
U+10b00 Avestan                                       (0/61)       
U+10b40 Inscriptional Parthian                        (0/30)       
U+10b60 Inscriptional Pahlavi                         (0/27)       
U+10b80 Psalter Pahlavi                               (0/29)       
U+10c00 Old Turkic                                    (0/73)       
U+10c80 Old Hungarian                                 (0/108)      
U+10e60 Rumi Numeral Symbols                          (0/31)       
U+11000 Brahmi                                        (0/109)      
U+11080 Kaithi                                        (0/66)       
U+110d0 Sora Sompeng                                  (0/35)       
U+11100 Chakma                                        (0/67)       
U+11150 Mahajani                                      (0/39)       
U+11180 Sharada                                       (0/94)       
U+111e0 Sinhala Archaic Numbers                       (0/20)       
U+11200 Khojki                                        (0/62)       
U+11280 Multani                                       (0/38)       
U+112b0 Khudawadi                                     (0/69)       
U+11300 Grantha                                       (0/85)       
U+11400 Newa                                          (0/92)       
U+11480 Tirhuta                                       (0/82)       
U+11580 Siddham                                       (0/92)       
